"","Var1","Freq"
"1","",568
"2","Agogos",447
"3","Aha Ang",71
"4","Alalas",22
"5","Alalas Nyuloh",5
"6","Ampala",102
"7","Anggata",2
"8","Angke",45
"9","Baba",109
"10","Baba Mira",1
"11","Baba Sirah Kuneh",8
"12","Babakal",602
"13","Bagangan",180
"14","Balomboh",1
"15","Balubba",240
"16","Balubba Rambongang",1
"17","Bangaong",1
"18","Bangarda",1
"19","Banguntu",53
"20","Banguntu Parai",1
"21","Banguntu Samo",4
"22","Bansa",409
"23","Bansa Tabali",2
"24","Basse Parai",1
"25","Berani",1
"26","Beseh",13
"27","Beseh Garas",1
"28","Beseh Lua Mata",73
"29","Beseh Mira",1
"30","Birah Saloka",1
"31","Birrah",69
"32","Birro",12
"33","Birro Babi",15
"34","Bokko",1
"35","Bonte",66
"36","Bukalang",170
"37","Bulawwis",1757
"38","Bulawwis Karangan",303
"39","Bulawwis Sillah",703
"40","Bulealang",2
"41","Buna",17
"42","Buna Sirah Kunih",2
"43","Buna Tatape",19
"44","Cocoreng",4
"45","Cumi Cumi",1
"46","Dapa",605
"47","Dapa Sumu",132
"48","Dayah",126
"49","Dayah Berani",1
"50","Dayah Buaya",2
"51","Dayah Mea",2
"52","Dayah Nyubba",312
"53","Dayah Nyubba Langoang",2
"54","Dayah Nyubba Nyuluh",2
"55","Dayah Tana",1
"56","Dodoh",223
"57","Dodoh Alo",10
"58","Dodoh Batu",96
"59","Dodoh Loong",1
"60","Dodoh Sirah Mira",13
"61","Dodoh Tambelo",3
"62","Ekor Kuning",5
"63","Epe",27
"64","Epe Sammo",1
"65","Guntur",68
"66","Gurisa",63
"67","Ila",15
"68","Ingko Kunih",20
"69","Jarah Gigi",5
"70","Kalabutan",2
"71","Kalempeda",4
"72","Kambule",34
"73","Karo'O",48
"74","Keapu",83
"75","Keapu Bandoka",4
"76","Keapu Biasa",2
"77","Keapu Bite Nyuloh",11
"78","Keapu Bitte Loong",2
"79","Keapu Bitte Mira",9
"80","Keapu Bitte Tibbo",4
"81","Keapu Bitti Mirah",23
"82","Keapu Buntar Tikolo",24
"83","Keapu Cambal",1
"84","Keapu Campur",38
"85","Keapu Campuran Ngeluhu",4
"86","Keapu Coklat",3
"87","Keapu Garas",3
"88","Keapu Goas",6
"89","Keapu Kuali",3
"90","Keapu Loong",68
"91","Keapu Loong Ngaluhu",10
"92","Keapu Malang",2
"93","Keapu Merah Campura",1
"94","Keapu Mira",46
"95","Keapu Mira Bitti",7
"96","Keapu Mira Sibbo",35
"97","Keapu Ngaluhu",45
"98","Keapu Nyarengelah",3
"99","Keapu Nyarengkeh",4
"100","Keapu Nyarengluh",3
"101","Keapu Poppokah",46
"102","Keapu Pote",2
"103","Keapu Sabit",1
"104","Keapu Setan",63
"105","Keapu Sibbo",204
"106","Keapu Sibbo Mirah",9
"107","Keapu Tallah",8
"108","Keapu Tiger",6
"109","Keapu Tongko",1
"110","Kekea",402
"111","Kekea Kuneh",16
"112","Kekea Langkau Boa",1
"113","Keyba",9
"114","Kokoreh",5
"115","Kongkeh",26
"116","Kumai",167
"117","Kumai Batu",49
"118","Kumai Sillah",2
"119","Kumai Tapesu",3
"120","Kumai Tarusan",9
"121","Kumai Ungko Kuneh",33
"122","Kumai Ungko Mira",12
"123","Kumbah Buaya",2
"124","Kurus Bali",3
"125","Kutamba",2668
"126","Kutamba Bannah",216
"127","Kutamba Mantirus",39
"128","Kutamba Sumpa",10
"129","Kutu",1
